Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Peak Power Density (dB FS/Hz)	song	element
73	Spectrogram 1	1	202.920021007	203.019534551	1703.000	4182.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.71	4	b
74	Spectrogram 1	1	203.017757523	203.060406185	1643.300	2509.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-27.22	4	c
75	Spectrogram 1	1	203.452702605	203.568209397	1822.600	4212.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.60	4	b
76	Spectrogram 1	1	203.569133080	203.611781742	1643.300	2479.900	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.45	4	c
77	Spectrogram 1	1	203.696155382	203.721033768	3316.500	6005.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.66	4	a
78	Spectrogram 1	1	203.722810795	203.829432450	1942.100	4302.400	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-27.29	4	b
79	Spectrogram 1	1	203.828579105	203.883666960	1703.000	2539.600	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.84	4	c
80	Spectrogram 1	1	213.351246511	213.466753303	1703.000	4153.000	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-23.69	5	b
81	Spectrogram 1	1	213.466753303	213.507624937	1673.200	2539.600	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-24.75	5	c
82	Spectrogram 1	1	213.587591177	213.614246591	3704.900	6005.500	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-21.62	5	a
83	Spectrogram 1	1	213.608915508	213.717314190	1852.400	4093.300	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-25.18	5	b
84	Spectrogram 1	1	213.719091217	213.763516907	1762.800	2509.800	Camarhynchus_psittacula-ML85459.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Camarhynchus_psittacula-ML85459.wav	-26.39		
