"ML Catalog Number","Common Name","Recordist","Year","Month","Day","Country State County","Locality","Loc ID","Behaviors","Taxon Category","source","genus","family","Orginal.Scientific.Name","Scientific.Name","file_url","species_ebird_url","sound.files"
490084921,"Pied Cuckoo-Dove","David Bree",2022,8,25,"PG-NIK","Lelet Plateau, New Ireland","L2687794",NA,"Species","not publication cut","Reinwardtoena","Columbidae","Reinwardtoena browni","Reinwardtoena browni","https://macaulaylibrary.org/asset/490084921","https://ebird.org/species/picdov1","Reinwardtoena_browni-ML490084921.wav"
202676,"Crested Cuckoo-Dove","Mark Robbins",2014,10,28,"SB-CH","Pisuku, along the Kolombangara River",NA,"Song","Species","not publication cut","Reinwardtoena","Columbidae","Reinwardtoena crassirostris","Reinwardtoena crassirostris","https://macaulaylibrary.org/asset/202676","https://ebird.org/species/crcdov1","Reinwardtoena_crassirostris-ML202676.wav"
100391,"Great Cuckoo-Dove","Andrew Mack",1998,4,6,"ID-IJ","103.0 km NW of Tembagapura; Paniai Kabupaten , Helipad 55",NA,"Call","Species","not publication cut","Reinwardtoena","Columbidae","Reinwardtoena reinwardti","Reinwardtoena reinwardti","https://macaulaylibrary.org/asset/100391","https://ebird.org/species/grcdov2","Reinwardtoena_reinwardti-ML100391.wav"
18641,"Stripe-sided Rhabdornis","Robert S. Kennedy",1979,2,21,"PH-NCO","Bo Amabel, Sitio San Roque",NA,"Call","Species","not publication cut","Rhabdornis","Sturnidae","Rhabdornis mystacalis","Rhabdornis mystacalis","https://macaulaylibrary.org/asset/18641","https://ebird.org/species/stsrha2","Rhabdornis_mystacalis-ML18641.wav"
253006091,"Visayan Rhabdornis","Brendan Sloan",2018,4,29,"PH-AKL","Mt Majda As","L9804416",NA,"Species","not publication cut","Rhabdornis","Sturnidae","Rhabdornis rabori","Rhabdornis rabori","https://macaulaylibrary.org/asset/253006091","https://ebird.org/species/visrha1","Rhabdornis_rabori-ML253006091.wav"
32917,"Sulawesi Hornbill","Arnoud B. van den Berg",1984,7,31,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Call","Species","not publication cut","Rhabdotorrhinus","Bucerotidae","Rhabdotorrhinus exarhatus","Rhabdotorrhinus exarhatus","https://macaulaylibrary.org/asset/32917","https://ebird.org/species/sulhor1","Rhabdotorrhinus_exarhatus-ML32917.wav"
288,"Writhed Hornbill","Ben F. King",1978,4,30,"PH-NCO","NORTH COTABATO; BARIO KIANDANG; MINDANAO",NA,NA,"Species","not publication cut","Rhabdotorrhinus","Bucerotidae","Rhabdotorrhinus leucocephalus","Rhabdotorrhinus leucocephalus","https://macaulaylibrary.org/asset/288","https://ebird.org/species/wrihor2","Rhabdotorrhinus_leucocephalus-ML288.wav"
203899191,"Writhe-billed Hornbill","Desmond Allen",NA,NA,NA,"PH-AKL",NA,NA,"Call","Species","not publication cut","Rhabdotorrhinus","Bucerotidae","Rhabdotorrhinus waldeni","Rhabdotorrhinus waldeni","https://macaulaylibrary.org/asset/203899191","https://ebird.org/species/wrbhor1","Rhabdotorrhinus_waldeni-ML203899191.wav"
165705261,"Mottled Berryhunter","James (Jim) Holmes",2019,6,19,"PG-NPP","North Trail to Isurava plane crash","L9518931","Song","Species","not publication cut","Rhagologus","Rhagologidae","Rhagologus leucostigma","Rhagologus leucostigma","https://macaulaylibrary.org/asset/165705261","https://ebird.org/species/motwhi1","Rhagologus_leucostigma-ML165705261.wav"
32982,"Yellow-billed Malkoha","Arnoud B. van den Berg",1984,8,11,"ID-SL-ST","80.0 km SE of Palu; between puncak - Sidaonta in NP Lore Linda",NA,"Song","Species","not publication cut","Rhamphococcyx","Cuculidae","Rhamphococcyx calyorhynchus","Rhamphococcyx calyorhynchus","https://macaulaylibrary.org/asset/32982","https://ebird.org/species/yebmal1","Rhamphococcyx_calyorhynchus-ML32982.wav"
527360591,"Sabine's Spinetail","Billi Krochuk",2023,1,22,"GQ-C-CS","Grand Hotel Djibloho","L3991120","Flying","Species","not publication cut","Rhaphidura","Apodidae","Rhaphidura sabini","Rhaphidura sabini","https://macaulaylibrary.org/asset/527360591","https://ebird.org/species/sabspi1","Rhaphidura_sabini-ML527360591.wav"
427,"Malayan Crested Argus","Ben F. King",1977,3,NA,"MY","Gunong Rabong",NA,NA,"Species","not publication cut","Rheinardia","Phasianidae","Rheinardia nigrescens","Rheinardia nigrescens","https://macaulaylibrary.org/asset/427","https://ebird.org/species/crearg3","Rheinardia_nigrescens-ML427.wav"
278863,"Bronze-winged Courser","Peter Boesman",2017,12,8,"ZM-03","Lukusuzi NP","L11112980","Call","Species","not publication cut","Rhinoptilus","Glareolidae","Rhinoptilus chalcopterus","Rhinoptilus chalcopterus","https://macaulaylibrary.org/asset/278863","https://ebird.org/species/brwcou1","Rhinoptilus_chalcopterus-ML278863.wav"
65904,"Friendly Fantail","Scott  Connop",1993,10,7,"PG-CPM","Ambua Lodge",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura albolimbata","Rhipidura albolimbata","https://macaulaylibrary.org/asset/65904","https://ebird.org/species/frifan1","Rhipidura_albolimbata-ML65904.wav"
65910,"Black Fantail","Scott  Connop",1993,10,7,"PG","Ambua Lodge",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura atra","Rhipidura atra","https://macaulaylibrary.org/asset/65910","https://ebird.org/species/blafan1","Rhipidura_atra-ML65910.wav"
22711,"Dimorphic Fantail","Thane Pratt",1974,NA,NA,"PG-MPL","Wau.",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura brachyrhyncha","Rhipidura brachyrhyncha","https://macaulaylibrary.org/asset/22711","https://ebird.org/species/dimfan1","Rhipidura_brachyrhyncha-ML22711.wav"
202624,"Cockerell's Fantail","Mark Robbins",2014,10,21,"SB-CH","Sarelata",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura cockerelli","Rhipidura cockerelli","https://macaulaylibrary.org/asset/202624","https://ebird.org/species/whwfan1","Rhipidura_cockerelli-ML202624.wav"
38654,"Blue-headed Fantail","Robert S. Kennedy",1981,3,29,"PH-LAG","Mt. Makiling",NA,"Call; Foraging or Eating","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura cyaniceps","Rhipidura cyaniceps","https://macaulaylibrary.org/asset/38654","https://ebird.org/species/blhfan1","Rhipidura_cyaniceps-ML38654.wav"
20527,"Bismarck Fantail","Ronald I. Orenstein",1973,11,2,"PG-WBK",NA,NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura dahli","Rhipidura dahli","https://macaulaylibrary.org/asset/20527","https://ebird.org/species/bisfan1","Rhipidura_dahli-ML20527.wav"
518199,"Streak-breasted Fantail","Lucas DeCicco",2016,1,11,"ID-MA","Seram Island, northern coast, Trans-Seram Highway, below pass on north side",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura dedemi","Rhipidura dedemi","https://macaulaylibrary.org/asset/518199","https://ebird.org/species/stbfan1","Rhipidura_dedemi-ML518199.wav"
518065,"Brown-capped Fantail","Lucas DeCicco",2015,12,29,"ID-NU","Lesser Sundas, Flores, Kalimutu Volcano",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura diluta","Rhipidura diluta","https://macaulaylibrary.org/asset/518065","https://ebird.org/species/brcfan1","Rhipidura_diluta-ML518065.wav"
218260631,"Cinnamon-tailed Fantail","Peter Kaestner",2019,8,19,"ID-MA-MA","Scrubfowl Trail","L6209039","Call","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura fuscorufa","Rhipidura fuscorufa","https://macaulaylibrary.org/asset/218260631","https://ebird.org/species/citfan1","Rhipidura_fuscorufa-ML218260631.wav"
203907291,"Peleng Fantail","Josep del Hoyo",2017,3,26,"ID-SL-ST","Kokolomboi","L3099266","Call","Form","not publication cut","Rhipidura","Rhipiduridae","Rhipidura habibiei","Rhipidura habibiei","https://macaulaylibrary.org/asset/203907291","https://ebird.org/species/pelfan1","Rhipidura_habibiei-ML203907291.wav"
65834,"Chestnut-bellied Fantail","Scott  Connop",1993,9,28,"PG-CPM","Varirata National Park","L2398903",NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura hyperythra","Rhipidura hyperythra","https://macaulaylibrary.org/asset/65834","https://ebird.org/species/chbfan1","Rhipidura_hyperythra-ML65834.wav"
5298,"Pohnpei Fantail","Doug Pratt",1978,6,13,"FM-PNI","Uh District; Village Hotel",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura kubaryi","Rhipidura kubaryi","https://macaulaylibrary.org/asset/5298","https://ebird.org/species/pohfan1","Rhipidura_kubaryi-ML5298.wav"
5330,"Palau Fantail","Doug Pratt",1978,7,2,"PW-150","Urukthapel; Old Japanese road at the NE end","L22073126","Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura lepida","Rhipidura lepida","https://macaulaylibrary.org/asset/5330","https://ebird.org/species/palfan1","Rhipidura_lepida-ML5330.wav"
21230,"White-bellied Thicket-Fantail","Dale A. Zimmerman",1979,8,13,"PG-WHM","N MT. HAGEN; BAIYER RIVER SANCTUARY",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura leucothorax","Rhipidura leucothorax","https://macaulaylibrary.org/asset/21230","https://ebird.org/species/wbtfan1","Rhipidura_leucothorax-ML21230.wav"
65961,"Black Thicket-Fantail","Scott  Connop",1993,10,17,"PG-CPM","Brown River","L13341584","Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura maculipectus","Rhipidura maculipectus","https://macaulaylibrary.org/asset/65961","https://ebird.org/species/bltfan1","Rhipidura_maculipectus-ML65961.wav"
5715,"Samoan Fantail","Doug Pratt",1977,6,25,"WS","Apia;on Trail To R.l.stevenson Tomb.",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura nebulosa","Rhipidura nebulosa","https://macaulaylibrary.org/asset/5715","https://ebird.org/species/samfan1","Rhipidura_nebulosa-ML5715.wav"
38625,"Black-and-cinnamon Fantail","Robert S. Kennedy",1981,6,2,"PH-DAS","Mount Toloma. Davao City. Barrio Baracatan",NA,"Call","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura nigrocinnamomea","Rhipidura nigrocinnamomea","https://macaulaylibrary.org/asset/38625","https://ebird.org/species/bacfan1","Rhipidura_nigrocinnamomea-ML38625.wav"
203925891,"Long-tailed Fantail","Josep del Hoyo",2011,11,3,"ID-MA-MA","Yamdena (-7.8416, 131.353)","L10633943","Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura opistherythra","Rhipidura opistherythra","https://macaulaylibrary.org/asset/203925891","https://ebird.org/species/lotfan1","Rhipidura_opistherythra-ML203925891.wav"
64512,"Kadavu Fantail","Doug Pratt",1992,7,5,"FJ-E","3.0 km E of Kadavu; town on forest road",NA,"Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura personata","Rhipidura personata","https://macaulaylibrary.org/asset/64512","https://ebird.org/species/kanfan1","Rhipidura_personata-ML64512.wav"
136522671,"Rennell Fantail","Lucas DeCicco",2018,10,24,"SB-RB","Solomon Islands; Rennell-Bellona Province; Rennell Island; Lake Te-Nganno; Te-Nganno Village and surroundings","L8410157","Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura rennelliana","Rhipidura rennelliana","https://macaulaylibrary.org/asset/136522671","https://ebird.org/species/renfan1","Rhipidura_rennelliana-ML136522671.wav"
167064,"Rufous-backed Fantail","Benjamin Freeman",2011,7,18,"PG-MPL","YUS Conservation Area: 750m",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura rufidorsa","Rhipidura rufidorsa","https://macaulaylibrary.org/asset/167064","https://ebird.org/species/rubfan1","Rhipidura_rufidorsa-ML167064.wav"
471965911,"Visayan Blue-Fantail","Simon Lloyd",2022,7,30,"PH-BOH","Raja Sikatuna National Park","L11795847",NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura samarensis","Rhipidura samarensis","https://macaulaylibrary.org/asset/471965911","https://ebird.org/species/visblf1","Rhipidura_samarensis-ML471965911.wav"
515532491,"Taliabu Fantail","Simon Mitchell",2022,10,20,"ID-MA-MU","Taliabu highlands","L3080461",NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura sulaensis","Rhipidura sulaensis","https://macaulaylibrary.org/asset/515532491","https://ebird.org/species/rubfan3","Rhipidura_sulaensis-ML515532491.wav"
296,"Mindanao Blue-Fantail","Ben F. King",1978,5,1,"PH-NCO","NORTH COTABATO; BARIO KIANDANG; MINDANAO",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura superciliaris","Rhipidura superciliaris","https://macaulaylibrary.org/asset/296","https://ebird.org/species/blufan1","Rhipidura_superciliaris-ML296.wav"
125195701,"Tawny-backed Fantail","Simon Mitchell",2017,5,27,"ID-MA-MA","Wamlana Logging Road","L3122708","Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura superflua","Rhipidura superflua","https://macaulaylibrary.org/asset/125195701","https://ebird.org/species/cibfan1","Rhipidura_superflua-ML125195701.wav"
247081,"Dusky Fantail","Niels Krabbe",2006,12,2,"SB-MK","Baranaigasi Ridge, Makira",NA,"Call","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura tenebrosa","Rhipidura tenebrosa","https://macaulaylibrary.org/asset/247081","https://ebird.org/species/dusfan1","Rhipidura_tenebrosa-ML247081.wav"
32756,"Sulawesi Fantail","Arnoud B. van den Berg",1984,7,21,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Dawn Song; Song","Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura teysmanni","Rhipidura teysmanni","https://macaulaylibrary.org/asset/32756","https://ebird.org/species/rubfan2","Rhipidura_teysmanni-ML32756.wav"
65933,"Sooty Thicket-Fantail","Scott  Connop",1993,10,10,"PG","Tabubil",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura threnothorax","Rhipidura threnothorax","https://macaulaylibrary.org/asset/65933","https://ebird.org/species/sotfan1","Rhipidura_threnothorax-ML65933.wav"
64411,"Streaked Fantail","Doug Pratt",NA,NA,NA,"FJ-N","Taveuni",NA,NA,"Species","not publication cut","Rhipidura","Rhipiduridae","Rhipidura verreauxi","Rhipidura verreauxi","https://macaulaylibrary.org/asset/64411","https://ebird.org/species/strfan1","Rhipidura_verreauxi-ML64411.wav"
285485,"Tarim Babbler","Peter Boesman",2019,7,20,"CN-65","Farmland around Ruoqiang  Xingjiang","L10328872","Call","Species","not publication cut","Rhopophilus","Sylviidae","Rhopophilus albosuperciliaris","Rhopophilus albosuperciliaris","https://macaulaylibrary.org/asset/285485","https://ebird.org/species/tarbab1","Rhopophilus_albosuperciliaris-ML285485.wav"
188757,"Kagu","Lucas DeCicco",2009,12,1,"NC","South Province; Blue River National Park",NA,"Call","Species","not publication cut","Rhynochetos","Rhynochetidae","Rhynochetos jubatus","Rhynochetos jubatus","https://macaulaylibrary.org/asset/188757","https://ebird.org/species/kagu1","Rhynochetos_jubatus-ML188757.wav"
32779,"Knobbed Hornbill","Arnoud B. van den Berg",1984,7,22,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Call; Courtship, Display, or Copulation; Flying","Species","not publication cut","Rhyticeros","Bucerotidae","Rhyticeros cassidix","Rhyticeros cassidix","https://macaulaylibrary.org/asset/32779","https://ebird.org/species/knohor1","Rhyticeros_cassidix-ML32779.wav"
199793421,"Sumba Hornbill","Ian Davies",2019,10,26,"ID-NU-NT","Lokuhuma Bird Watching Track (KM 88)","L3080314","Song","Species","not publication cut","Rhyticeros","Bucerotidae","Rhyticeros everetti","Rhyticeros everetti","https://macaulaylibrary.org/asset/199793421","https://ebird.org/species/sumhor1","Rhyticeros_everetti-ML199793421.wav"
20530,"Blyth's Hornbill","Ronald I. Orenstein",1973,11,2,"PG-WBK",NA,NA,"Song","Species","not publication cut","Rhyticeros","Bucerotidae","Rhyticeros plicatus","Rhyticeros plicatus","https://macaulaylibrary.org/asset/20530","https://ebird.org/species/blyhor1","Rhyticeros_plicatus-ML20530.wav"
118479611,"Solomons Frogmouth","Lucas DeCicco",2018,6,9,"SB-IS","Solomon Islands; Isabel Province; Isabel Island; Kolosita River","L7982292","Song","Species","not publication cut","Rigidipenna","Podargidae","Rigidipenna inexpectata","Rigidipenna inexpectata","https://macaulaylibrary.org/asset/118479611","https://ebird.org/species/soifro1","Rigidipenna_inexpectata-ML118479611.wav"
166395,"Cordillera Ground-Warbler","Peter Hosner",2011,7,2,"PH-ILN","Adams, Mt. Cabacan",NA,"Song","Species","not publication cut","Robsonius","Locustellidae","Robsonius rabori","Robsonius rabori","https://macaulaylibrary.org/asset/166395","https://ebird.org/species/luzwrb1","Robsonius_rabori-ML166395.wav"
151963701,"Bicol Ground-Warbler","yann muzika",2019,4,5,"PH-QUE","Infanta / Marilaque Highway, Real, Quezon","L11923026","Song","Species","not publication cut","Robsonius","Locustellidae","Robsonius sorsogonensis","Robsonius sorsogonensis","https://macaulaylibrary.org/asset/151963701","https://ebird.org/species/gybbab2","Robsonius_sorsogonensis-ML151963701.wav"
276465,"Rouget's Rail","Peter Boesman",2015,12,9,"ET-OR","Bale Mts--Dinsho wetland","L2099195","Call","Species","not publication cut","Rougetius","Rallidae","Rougetius rougetii","Rougetius rougetii","https://macaulaylibrary.org/asset/276465","https://ebird.org/species/rourai1","Rougetius_rougetii-ML276465.wav"
101506101,"Ruby-throated Bulbul","Oscar Johnson",NA,NA,NA,"ID-SM-SB",NA,NA,"Call","Species","not publication cut","Rubigula","Pycnonotidae","Rubigula dispar","Rubigula dispar","https://macaulaylibrary.org/asset/101506101","https://ebird.org/species/bkcbul3","Rubigula_dispar-ML101506101.wav"
71368,"Scaly-breasted Bulbul","Arnoud B. van den Berg",1993,11,4,"MY-08","Temengor; Belum; Halong MNS base-camp; near Banding",NA,"Call; Courtship, Display, or Copulation","Species","not publication cut","Rubigula","Pycnonotidae","Rubigula squamata","Rubigula squamata","https://macaulaylibrary.org/asset/71368","https://ebird.org/species/scbbul1","Rubigula_squamata-ML71368.wav"
139963,"Long-billed White-eye","Doug Pratt",2007,4,4,"FM-PNI","4.5 km S of Kolonia, Nanpil Valley",NA,"Call","Species","not publication cut","Rukia","Zosteropidae","Rukia longirostra","Rukia longirostra","https://macaulaylibrary.org/asset/139963","https://ebird.org/species/lbweye2","Rukia_longirostra-ML139963.wav"
5506,"Truk White-eye","Doug Pratt",1978,7,14,"FM-TRK","Truk Islands",NA,"Call","Species","not publication cut","Rukia","Zosteropidae","Rukia ruki","Rukia ruki","https://macaulaylibrary.org/asset/5506","https://ebird.org/species/trweye1","Rukia_ruki-ML5506.wav"
203894051,"Visayan Broadbill","Stijn De Win",2010,2,1,"PH-BOH","Rajah Sikatuna National Park","L1106832","Call","Species","not publication cut","Sarcophanops","Eurylaimidae","Sarcophanops samarensis","Sarcophanops samarensis","https://macaulaylibrary.org/asset/203894051","https://ebird.org/species/visbro1","Sarcophanops_samarensis-ML203894051.wav"
312,"Coleto","Ben F. King",1978,5,3,"PH-NCO","NORTH COTABATO; BARIO KIANDANG; MINDANAO",NA,NA,"Species","not publication cut","Sarcops","Sturnidae","Sarcops calvus","Sarcops calvus","https://macaulaylibrary.org/asset/312","https://ebird.org/species/coleto1","Sarcops_calvus-ML312.wav"
166695961,"King Vulture","Arthur Gomes",2019,7,2,"BR-SP","Floresta Estadual Edmundo Navarro de Andrade","L3701943","Non-vocal","Species","not publication cut","Sarcoramphus","Cathartidae","Sarcoramphus papa","Sarcoramphus papa","https://macaulaylibrary.org/asset/166695961","https://ebird.org/species/kinvul1","Sarcoramphus_papa-ML166695961.wav"
545560171,"Comb Duck","Bird User",2012,3,8,"EC-G","Cerro de Hayas-Naranjal IBA","L2762079","Flight Call; Flying","Species","not publication cut","Sarkidiornis","Anatidae","Sarkidiornis sylvicola","Sarkidiornis sylvicola","https://macaulaylibrary.org/asset/545560171","https://ebird.org/species/comduc3","Sarkidiornis_sylvicola-ML545560171.wav"
38627,"Mindanao Lorikeet","Robert S. Kennedy",1981,6,2,"PH-DAS","Mount Toloma. Davao City. Barrio Baracatan",NA,NA,"Species","not publication cut","Saudareos","Psittaculidae","Saudareos johnstoniae","Saudareos johnstoniae","https://macaulaylibrary.org/asset/38627","https://ebird.org/species/minlor1","Saudareos_johnstoniae-ML38627.wav"
32738,"Yellow-cheeked Lorikeet","Arnoud B. van den Berg",1984,7,20,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Call; Flying; Foraging or Eating","Species","not publication cut","Saudareos","Psittaculidae","Saudareos meyeri","Saudareos meyeri","https://macaulaylibrary.org/asset/32738","https://ebird.org/species/yaglor2","Saudareos_meyeri-ML32738.wav"
32742,"Ornate Lorikeet","Arnoud B. van den Berg",1984,7,20,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Call; Courtship, Display, or Copulation","Species","not publication cut","Saudareos","Psittaculidae","Saudareos ornatus","Saudareos ornatus","https://macaulaylibrary.org/asset/32742","https://ebird.org/species/ornlor1","Saudareos_ornatus-ML32742.wav"
486957981,"White-throated Bushchat","Patrick Franke",2022,6,2,"MN-069","Bayankhongorijn Khukh Nuur","L20990546",NA,"Species","not publication cut","Saxicola","Muscicapidae","Saxicola insignis","Saxicola insignis","https://macaulaylibrary.org/asset/486957981","https://ebird.org/species/whtbus1","Saxicola_insignis-ML486957981.wav"
308791681,"White-tailed Stonechat","Dibyendu Ash",2021,1,4,"IN-WB-MA","Farakka IBA Panchanandapur","L8547425",NA,"Species","not publication cut","Saxicola","Muscicapidae","Saxicola leucurus","Saxicola leucurus","https://macaulaylibrary.org/asset/308791681","https://ebird.org/species/whtsto2","Saxicola_leucurus-ML308791681.wav"
203913311,"White-browed Bushchat","Josep del Hoyo",2011,2,24,"IN-RJ-CR","Tal Chhapar Sanctuary","L2615788","Song","Species","not publication cut","Saxicola","Muscicapidae","Saxicola macrorhynchus","Saxicola macrorhynchus","https://macaulaylibrary.org/asset/203913311","https://ebird.org/species/whbbus4","Saxicola_macrorhynchus-ML203913311.wav"
72185,"Reunion Stonechat","Jennifer F. M. Horne",1973,11,1,"RE","665.0 km SE of Madagascar; 164 km WSW Mauritius; Bebour Forest",NA,"Song","Species","not publication cut","Saxicola","Muscicapidae","Saxicola tectes","Saxicola tectes","https://macaulaylibrary.org/asset/72185","https://ebird.org/species/reusto1","Saxicola_tectes-ML72185.wav"
23192,"Sierra Leone Prinia","G. Stuart Keith",1971,2,21,"LR-NI","Nimba","L7494088",NA,"Species","not publication cut","Schistolais","Cisticolidae","Schistolais leontica","Schistolais leontica","https://macaulaylibrary.org/asset/23192","https://ebird.org/species/silpri2","Schistolais_leontica-ML23192.wav"
76335671,"Black-crowned Fulvetta","David Stejskal",2017,11,21,"VN-35","Mt. Langbian trail","L6492709","Call","Species","not publication cut","Schoeniparus","Pellorneidae","Schoeniparus klossi","Schoeniparus klossi","https://macaulaylibrary.org/asset/76335671","https://ebird.org/species/bkcful1","Schoeniparus_klossi-ML76335671.wav"
274494441,"Scarce Swift","Stratton Hatfield",2020,10,17,"KE-200","Mt. Kenya NP--Castle Forest and Lodge","L1745937",NA,"Species","not publication cut","Schoutedenapus","Apodidae","Schoutedenapus myoptilus","Schoutedenapus myoptilus","https://macaulaylibrary.org/asset/274494441","https://ebird.org/species/scaswi1","Schoutedenapus_myoptilus-ML274494441.wav"
32755,"Finch-billed Myna","Arnoud B. van den Berg",1984,7,21,"ID-SL-ST","Lore Lindu NP--Dongi Dongi (900m asl)","L2981459","Call; Flying","Species","not publication cut","Scissirostrum","Sturnidae","Scissirostrum dubium","Scissirostrum dubium","https://macaulaylibrary.org/asset/32755","https://ebird.org/species/fibmyn2","Scissirostrum_dubium-ML32755.wav"
502014941,"Finsch's Francolin","Wayne Paes",2022,10,25,"AO-HUA","Mt. Moco Reserve IBA","L3016020",NA,"Species","not publication cut","Scleroptila","Phasianidae","Scleroptila finschi","Scleroptila finschi","https://macaulaylibrary.org/asset/502014941","https://ebird.org/species/finfra2","Scleroptila_finschi-ML502014941.wav"
373985141,"Ring-necked Francolin","Dylan Vasapolli - Birding Ecotours",2021,8,26,"UG-N","Auto selected 3.66982, 33.66351","L16221603",NA,"Species","not publication cut","Scleroptila","Phasianidae","Scleroptila streptophora","Scleroptila streptophora","https://macaulaylibrary.org/asset/373985141","https://ebird.org/species/rinfra2","Scleroptila_streptophora-ML373985141.wav"
203890581,"Bukidnon Woodcock","José Luis Copete",2012,3,15,"PH-BUK","Mt. Kitanglad Range Natural Park--Mid-level Trails","L922485",NA,"Species","not publication cut","Scolopax","Scolopacidae","Scolopax bukidnonensis","Scolopax bukidnonensis","https://macaulaylibrary.org/asset/203890581","https://ebird.org/species/bukwoo1","Scolopax_bukidnonensis-ML203890581.wav"
203929391,"Amami Woodcock","Josep del Hoyo",2016,3,20,"JP-46-34","Amami ?shima (28.2922, 129.3229)","L10547745","Call","Species","not publication cut","Scolopax","Scolopacidae","Scolopax mira","Scolopax mira","https://macaulaylibrary.org/asset/203929391","https://ebird.org/species/amawoo1","Scolopax_mira-ML203929391.wav"
182207,"Moluccan Woodcock","John C. Mittermeier",2012,7,8,"ID-MA-MU","Obi; Jikotamo; Sembiki road E of town",NA,NA,"Species","not publication cut","Scolopax","Scolopacidae","Scolopax rochussenii","Scolopax rochussenii","https://macaulaylibrary.org/asset/182207","https://ebird.org/species/molwoo1","Scolopax_rochussenii-ML182207.wav"
22724,"New Guinea Woodcock","Thane Pratt",1974,9,22,"PG-MPL","Wau. Mt. Mission",NA,"Flying","Species","not publication cut","Scolopax","Scolopacidae","Scolopax rosenbergii","Scolopax rosenbergii","https://macaulaylibrary.org/asset/22724","https://ebird.org/species/duswoo3","Scolopax_rosenbergii-ML22724.wav"
220528791,"Pel's Fishing-Owl","Qiang Zeng",2020,1,30,"BW-NW","Okavango Delta--Belmond Eagle Island Lodge","L3941594",NA,"Species","not publication cut","Scotopelia","Strigidae","Scotopelia peli","Scotopelia peli","https://macaulaylibrary.org/asset/220528791","https://ebird.org/species/pefowl1","Scotopelia_peli-ML220528791.wav"
20960,"Twelve-wired Bird-of-Paradise","Dale A. Zimmerman",1979,7,31,"PG-CPM","65.0 km N of PORT MORESBY; VEIMAURI SAGO FOREST",NA,"Song","Species","not publication cut","Seleucidis","Paradisaeidae","Seleucidis melanoleucus","Seleucidis melanoleucus","https://macaulaylibrary.org/asset/20960","https://ebird.org/species/twwbop1","Seleucidis_melanoleucus-ML20960.wav"
163702,"Standardwing Bird-of-Paradise","Edwin Scholes",2008,7,23,"ID-MA-MU","Halmahera Island, Labi-labi lek",NA,"Call; Courtship, Display, or Copulation; Song","Species","not publication cut","Semioptera","Paradisaeidae","Semioptera wallacii","Semioptera wallacii","https://macaulaylibrary.org/asset/163702","https://ebird.org/species/walsta2","Semioptera_wallacii-ML163702.wav"
100436,"Gray-green Scrubwren","Andrew Mack",1998,4,13,"ID-IJ","125.0 km NW of Tembagapura; Paniai Kabupaten; Wapoga Alpha Camp",NA,"Call","Species","not publication cut","Sericornis","Acanthizidae","Sericornis arfakianus","Sericornis arfakianus","https://macaulaylibrary.org/asset/100436","https://ebird.org/species/gygscr1","Sericornis_arfakianus-ML100436.wav"
22712,"Large Scrubwren","Thane Pratt",1974,NA,NA,"PG-MPL","Wau.",NA,NA,"Species","not publication cut","Sericornis","Acanthizidae","Sericornis nouhuysi","Sericornis nouhuysi","https://macaulaylibrary.org/asset/22712","https://ebird.org/species/larscr1","Sericornis_nouhuysi-ML22712.wav"
