"family","species","species_ebird_url","catalog_ID","sound_file","common.name","original_species_name","observations","behaviors","age_and_sex","file_url"
"Vangidae","Bias musicus","https://ebird.org/species/bawfly1",1406,"Bias_musicus-ML1406.wav","Black-and-white Shrike-flycatcher","Bias musicus",NA,"Courtship, Display, or Copulation; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1406"
"Malaconotidae","Telophorus bocagei","https://ebird.org/species/gygbus1",1407,"Telophorus_bocagei-ML1407.wav","Gray-green Bushshrike","Telophorus bocagei",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1407"
"Stenostiridae","Elminia nigromitrata","https://ebird.org/species/ducfly1",1428,"Elminia_nigromitrata-ML1428.wav","Dusky Crested-Flycatcher","Elminia nigromitrata",NA,"Courtship, Display, or Copulation; Song","Adult – 1","https://macaulaylibrary.org/asset/1428"
"Nectariniidae","Cinnyris chloropygius","https://ebird.org/species/olbsun3",1443,"Cinnyris_chloropygius-ML1443.wav","Olive-bellied Sunbird","Cinnyris chloropygius",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1443"
"Ploceidae","Malimbus rubricollis","https://ebird.org/species/rehmal1",1454,"Malimbus_rubricollis-ML1454.wav","Red-headed Malimbe","Malimbus rubricollis",NA,"Call; Courtship, Display, or Copulation; Foraging or Eating","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1454"
"Hirundinidae","Cecropis semirufa","https://ebird.org/species/rucswa2",1469,"Cecropis_semirufa-ML1469.wav","Rufous-chested Swallow","Cecropis semirufa",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1469"
"Estrildidae","Spermestes fringilloides","https://ebird.org/species/magman1",1470,"Spermestes_fringilloides-ML1470.wav","Magpie Mannikin","Spermestes fringilloides",NA,"Call; Flying; Foraging or Eating","Adult – 10; Juvenile – 10","https://macaulaylibrary.org/asset/1470"
"Picidae","Campethera cailliautii","https://ebird.org/species/gnbwoo1",1474,"Campethera_cailliautii-ML1474.wav","Green-backed Woodpecker (Plain-backed)","Campethera cailliautii permista",NA,"Call","Adult Male – 1","https://macaulaylibrary.org/asset/1474"
"Estrildidae","Estrilda melpoda","https://ebird.org/species/orcwax",1475,"Estrilda_melpoda-ML1475.wav","Orange-cheeked Waxbill","Estrilda melpoda",NA,"Call; Flying; Foraging or Eating","Adult – 5","https://macaulaylibrary.org/asset/1475"
"Accipitridae","Elanus caeruleus","https://ebird.org/species/bkskit1",1496,"Elanus_caeruleus-ML1496.wav","Black-winged Kite","Elanus caeruleus",NA,"Call","Adult – 1","https://macaulaylibrary.org/asset/1496"
"Cisticolidae","Cisticola natalensis","https://ebird.org/species/crocis1",1497,"Cisticola_natalensis-ML1497.wav","Croaking Cisticola","Cisticola natalensis",NA,"Courtship, Display, or Copulation; Duet; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1497"
"Ploceidae","Ploceus ocularis","https://ebird.org/species/spewea1",1501,"Ploceus_ocularis-ML1501.wav","Spectacled Weaver","Ploceus ocularis",NA,NA,"Adult Male – 1","https://macaulaylibrary.org/asset/1501"
"Muscicapidae","Myrmecocichla nigra","https://ebird.org/species/soocha1",1506,"Myrmecocichla_nigra-ML1506.wav","Sooty Chat","Myrmecocichla nigra",NA,"Call; Courtship, Display, or Copulation; Song","Adult Male – 1","https://macaulaylibrary.org/asset/1506"
"Emberizidae","Emberiza cabanisi","https://ebird.org/species/cabbun2",1514,"Emberiza_cabanisi-ML1514.wav","Cabanis's Bunting (Cabanis's)","Emberiza cabanisi cabanisi",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1514"
"Malaconotidae","Dryoscopus angolensis","https://ebird.org/species/pifpuf1",1517,"Dryoscopus_angolensis-ML1517.wav","Pink-footed Puffback","Dryoscopus angolensis",NA,"Call","Adult Male – 1","https://macaulaylibrary.org/asset/1517"
"Ploceidae","Euplectes axillaris","https://ebird.org/species/fatwid1",1523,"Euplectes_axillaris-ML1523.wav","Fan-tailed Widowbird","Euplectes axillaris",NA,"Call; Courtship, Display, or Copulation; Song","Adult Male – 1","https://macaulaylibrary.org/asset/1523"
"Fringillidae","Crithagra sulphurata","https://ebird.org/species/brican1",1549,"Crithagra_sulphurata-ML1549.wav","Brimstone Canary","Crithagra sulphurata",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1549"
"Hirundinidae","Hirundo angolensis","https://ebird.org/species/angswa1",1552,"Hirundo_angolensis-ML1552.wav","Angola Swallow","Hirundo angolensis",NA,"Call; Courtship, Display, or Copulation; Flying; Song","Adult – 1","https://macaulaylibrary.org/asset/1552"
"Fringillidae","Crithagra frontalis","https://ebird.org/species/wescit1",1559,"Crithagra_frontalis-ML1559.wav","Western Citril","Crithagra frontalis",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1559"
"Estrildidae","Estrilda atricapilla","https://ebird.org/species/blhwax1",1561,"Estrilda_atricapilla-ML1561.wav","Black-headed Waxbill","Estrilda atricapilla",NA,"Call; Foraging or Eating","Adult – 6","https://macaulaylibrary.org/asset/1561"
"Nectariniidae","Cinnyris afer","https://ebird.org/species/gdcsun2",1572,"Cinnyris_afer-ML1572.wav","Greater Double-collared Sunbird","Cinnyris afer",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1572"
"Nectariniidae","Cinnyris regius","https://ebird.org/species/regsun2",1585,"Cinnyris_regius-ML1585.wav","Regal Sunbird","Cinnyris regius",NA,"Foraging or Eating; Song","Adult Male – 1","https://macaulaylibrary.org/asset/1585"
"Zosteropidae","Zosterops stuhlmanni","https://ebird.org/species/afywhe3",1586,"Zosterops_stuhlmanni-ML1586.wav","Green White-eye","Zosterops stuhlmanni",NA,"Call; Foraging or Eating","Adult – 4","https://macaulaylibrary.org/asset/1586"
"Muscicapidae","Cichladusa ruficauda","https://ebird.org/species/rtpthr1",1598,"Cichladusa_ruficauda-ML1598.wav","Rufous-tailed Palm-Thrush","Cichladusa ruficauda",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1598"
"Sarothruridae","Sarothrura elegans","https://ebird.org/species/busflu1",1674,"Sarothrura_elegans-ML1674.wav","Buff-spotted Flufftail","Sarothrura elegans",NA,"Call","Adult – 1","https://macaulaylibrary.org/asset/1674"
"Laridae","Sternula saundersi","https://ebird.org/species/sauter2",1706,"Sternula_saundersi-ML1706.wav","Saunders's Tern","Sternula saundersi",NA,"Call; Flying","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1706"
"Alaudidae","Eremopterix nigriceps","https://ebird.org/species/bcslar1",1725,"Eremopterix_nigriceps-ML1725.wav","Black-crowned Sparrow-Lark","Eremopterix nigriceps",NA,NA,"Adult – 2","https://macaulaylibrary.org/asset/1725"
"Caprimulgidae","Caprimulgus nubicus","https://ebird.org/species/nubnig1",1727,"Caprimulgus_nubicus-ML1727.wav","Nubian Nightjar","Caprimulgus nubicus",NA,NA,NA,"https://macaulaylibrary.org/asset/1727"
"Leiothrichidae","Argya squamiceps","https://ebird.org/species/arabab1",1743,"Argya_squamiceps-ML1743.wav","Arabian Babbler","Argya squamiceps",NA,NA,"Adult – 6","https://macaulaylibrary.org/asset/1743"
"Sturnidae","Cinnyricinclus leucogaster","https://ebird.org/species/vibsta2",1746,"Cinnyricinclus_leucogaster-ML1746.wav","Violet-backed Starling","Cinnyricinclus leucogaster",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1746"
"Sylviidae","Curruca leucomelaena","https://ebird.org/species/reswar1",1753,"Curruca_leucomelaena-ML1753.wav","Arabian Warbler","Curruca leucomelaena",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1753"
"Nectariniidae","Hedydipna metallica","https://ebird.org/species/nivsun2",1756,"Hedydipna_metallica-ML1756.wav","Nile Valley Sunbird","Hedydipna metallica",NA,NA,"Adult Male – 1","https://macaulaylibrary.org/asset/1756"
"Corvidae","Corvus ruficollis","https://ebird.org/species/brnrav1",1759,"Corvus_ruficollis-ML1759.wav","Brown-necked Raven","Corvus ruficollis",NA,NA,"Adult – 2","https://macaulaylibrary.org/asset/1759"
"Turdidae","Turdus menachensis","https://ebird.org/species/yemthr1",1764,"Turdus_menachensis-ML1764.wav","Yemen Thrush","Turdus menachensis",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1764"
"Muscicapidae","Oenanthe lugentoides","https://ebird.org/species/mouwhe5",1771,"Oenanthe_lugentoides-ML1771.wav","Arabian Wheatear","Oenanthe lugentoides",NA,NA,"Adult Male – 1","https://macaulaylibrary.org/asset/1771"
"Nectariniidae","Cinnyris osea","https://ebird.org/species/palsun2",1796,"Cinnyris_osea-ML1796.wav","Palestine Sunbird","Cinnyris osea",NA,NA,"Adult – 2","https://macaulaylibrary.org/asset/1796"
"Procellariidae","Ardenna pacifica","https://ebird.org/species/wetshe",1804,"Ardenna_pacifica-ML1804.wav","Wedge-tailed Shearwater","Ardenna pacifica",NA,"Call","Adult – 1","https://macaulaylibrary.org/asset/1804"
"Procellariidae","Ardenna tenuirostris","https://ebird.org/species/shtshe",1806,"Ardenna_tenuirostris-ML1806.wav","Short-tailed Shearwater","Ardenna tenuirostris",NA,NA,"Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1806"
"Sulidae","Morus serrator","https://ebird.org/species/ausgan1",1994,"Morus_serrator-ML1994.wav","Australasian Gannet","Morus serrator",NA,"Call",NA,"https://macaulaylibrary.org/asset/1994"
"Phalacrocoracidae","Leucocarbo atriceps","https://ebird.org/species/impcor1",1996,"Leucocarbo_atriceps-ML1996.wav","Imperial Cormorant","Leucocarbo atriceps",NA,"Call",NA,"https://macaulaylibrary.org/asset/1996"
"Phalacrocoracidae","Phalacrocorax capillatus","https://ebird.org/species/japcor1",2006,"Phalacrocorax_capillatus-ML2006.wav","Japanese Cormorant","Phalacrocorax capillatus",NA,"Call",NA,"https://macaulaylibrary.org/asset/2006"
"Phalacrocoracidae","Phalacrocorax varius","https://ebird.org/species/piecor1",2015,"Phalacrocorax_varius-ML2015.wav","Pied Cormorant","Phalacrocorax varius",NA,"Call",NA,"https://macaulaylibrary.org/asset/2015"
"Ardeidae","Ardea cinerea","https://ebird.org/species/gryher1",2026,"Ardea_cinerea-ML2026.wav","Gray Heron (Gray)","Ardea cinerea cinerea/jouyi",NA,"Flying",NA,"https://macaulaylibrary.org/asset/2026"
"Ardeidae","Ardea goliath","https://ebird.org/species/golher1",2027,"Ardea_goliath-ML2027.wav","Goliath Heron","Ardea goliath",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/2027"
"Ardeidae","Ardea melanocephala","https://ebird.org/species/blhher1",2046,"Ardea_melanocephala-ML2046.wav","Black-headed Heron","Ardea melanocephala",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/2046"
"Ardeidae","Egretta novaehollandiae","https://ebird.org/species/whfher1",2049,"Egretta_novaehollandiae-ML2049.wav","White-faced Heron","Egretta novaehollandiae",NA,"Call; Flying","Unknown – 1","https://macaulaylibrary.org/asset/2049"
"Ardeidae","Bubulcus ibis","https://ebird.org/species/categr1",2054,"Bubulcus_ibis-ML2054.wav","Cattle Egret (Western)","Bubulcus ibis ibis",NA,"Call",NA,"https://macaulaylibrary.org/asset/2054"
"Ardeidae","Botaurus poiciloptilus","https://ebird.org/species/ausbit1",2064,"Botaurus_poiciloptilus-ML2064.wav","Australasian Bittern","Botaurus poiciloptilus",NA,"Call","Adult Male – 1","https://macaulaylibrary.org/asset/2064"
"Strigidae","Strix hadorami","https://ebird.org/species/humowl1",2100,"Strix_hadorami-ML2100.wav","Desert Owl","Strix hadorami",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/2100"
